iter	Passed	Remaining
944	23740	1381
945	23768	1356
946	23791	1331
947	23815	1306
948	23836	1281
949	23858	1255
950	23881	1230
951	23903	1205
952	23925	1179
953	23947	1154
954	23974	1129
955	24003	1104
956	24026	1079
957	24053	1054
958	24080	1029
959	24106	1004
960	24130	979
961	24153	954
962	24179	929
963	24204	903
964	24227	878
965	24253	853
966	24282	828
967	24303	803
968	24328	778
969	24352	753
970	24377	728
971	24406	703
972	24430	677
973	24454	652
974	24476	627
975	24500	602
976	24522	577
977	24548	552
978	24571	527
979	24594	501
980	24617	476
981	24639	451
982	24663	426
983	24687	401
984	24718	376
985	24746	351
986	24770	326
987	24793	301
988	24816	276
989	24839	250
990	24864	225
991	24888	200
992	24911	175
993	24934	150
994	24957	125
995	24980	100
996	25005	75
997	25032	50
998	25056	25
999	25080	0
